,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,,,,,,345,캔버스에 수채,15,캔버스,수채,,,
,,,,,,346,"캔버스에 아크릴, 실리콘",15,캔버스,아크릴릭,,학습 제외,
,,,,,,347,캔버스에 아크릴 과슈,15,캔버스,"아크릴릭, 과슈",,,
,,,,,,348,"PVC, 유리",15,없음,조각,,,
,,,,,,349,스틸에 핸드페인팅,15,금속,기타,분류 미매칭,학습 제외,
,,,,,,350,종이 콜라주,15,종이,혼합재료,,,
,,,,,,351,"돌, 모래",14,기타,기타,분류 미매칭,학습 제외,
,,,,,,352,목판에 유채,14,종이,"목판, 유채",,,
,,,,,,353,mixed media on wooden board,14,목재,혼합재료,,,
,,,,,,354,견에 수묵,14,비단,수묵,,,
,,,,,,355,한지부조에 채색,14,종이,채색,,,
,,,,,,356,acrylic on Korean paper,14,한지,아크릴릭,,,
,,,,,,357,"gold, ink and color on silk",14,비단,수묵,,,
,,,,,,358,resin with urethane paint,14,없음,조각,,,
,,,,,,359,ink on Korean paper mounted on wooden panel,14,종이,수묵,,,
,,,,,,360,칼라 오프셋,14,종이,오프셋 프린트,,,
,,,,,,361,람다 프린트,14,종이,람다 프린트,,,
,,,,,,362,디지털 C-프린트,14,종이,디지털 C-프린트,,,
,,,,,,363,실크 스크린,14,종이,실크스크린,분류 미매칭,,
,,,,,,364,인쇄본,14,기타,기타,분류 미매칭,학습 제외,
,,,,,,365,비단에수묵담채,14,비단,수묵,,,
,,,,,,366,"종이에 수묵, 수채",14,종이,수채,,,
,,,,,,367,"자개, 레진, 혼합재료",14,기타,혼합재료,,학습 제외,
,,,,,,368,패널 위 종이에 유채,14,종이,유채,,,
,,,,,,369,백동,14,기타,기타,분류 미매칭,학습 제외,
,,,,,,370,"캔버스에 디지털 프린트, 아크릴",13,캔버스,"디지털 프린트, 아크릴릭",,,
,,,,,,371,합판에 유채,13,패널,유채,,,
