width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,medium_support_bucket,is_extreme_aspect_ratio,is_training_candidate,_track6_row_id,collected_material_raw,nant_support,nant_tool,nant_material_note,nant_material_match_method,nant_material_idx
40.0,40.0,1.5,1600.0,7.377758908227872,1.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,137,"acrylic, enamel, gesso, oil, gouache",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
162.0,130.0,0.1,21060.0,9.955130785687968,1.2461538461538462,True,False,oil,canvas,oil__canvas,False,True,138,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
46.0,53.1,1.5,2442.6,7.800818324736988,1.1543478260869566,True,False,acrylic,canvas,acrylic__canvas,False,True,139,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
40.9,32.0,3.0,1308.8,7.176865965848482,1.278125,True,False,ink,linen,ink__linen,False,True,140,ink,캔버스,수묵,rule_based_material_parse,rule_material_parse,4.0
53.1,45.0,3.0,2389.5,7.7788394180182125,1.18,True,False,oil,linen,oil__linen,False,True,141,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
45.5,38.0,2.5,1729.0,7.455298485683291,1.1973684210526316,True,False,mixed_media,canvas,mixed_media__canvas,False,True,142,"acrylic, enamel, gesso, gouache, ink",캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
32.0,41.0,3.0,1312.0,7.179307969504034,1.28125,True,False,ink,linen,ink__linen,False,True,143,ink,캔버스,수묵,rule_based_material_parse,rule_material_parse,4.0
130.0,162.1,3.0,21073.0,9.955747879197212,1.2469230769230768,True,False,ink,linen,ink__linen,False,True,144,ink,캔버스,수묵,rule_based_material_parse,rule_material_parse,4.0
32.0,40.9,3.0,1308.8,7.176865965848482,1.278125,True,False,ink,linen,ink__linen,False,True,145,ink,캔버스,수묵,rule_based_material_parse,rule_material_parse,4.0
45.5,37.8,1.5,1719.9,7.450021428582446,1.2037037037037035,True,False,mixed_media,canvas,mixed_media__canvas,False,True,146,"acrylic, oil, gesso, gouache, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
116.8,91.0,3.5,10628.8,9.271322576910975,1.2835164835164834,True,False,mixed_media,canvas,mixed_media__canvas,False,True,147,"acrylic, oil, gesso, gouache, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
52.5,46.0,4.0,2415.0,7.789454566086673,1.141304347826087,True,False,acrylic,linen,acrylic__linen,False,True,148,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,False,True,149,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,False,True,150,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
40.9,53.0,2.0,2167.7,7.681421976600878,1.2958435207823962,True,False,oil,linen,oil__linen,False,True,152,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
33.4,53.0,1.5,1770.1999999999998,7.478847813534776,1.5868263473053892,True,False,mixed_media,canvas,mixed_media__canvas,False,True,153,"acrylic, enamel, gesso, ink, gouache",캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
60.6,72.7,5.0,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,False,True,154,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
145.5,112.1,4.0,16310.55,9.69956741668966,1.2979482604817127,True,False,mixed_media,canvas,mixed_media__canvas,False,True,155,"acrylic, enamel, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,mixed_media,canvas,mixed_media__canvas,False,True,156,"acrylic, oil, gesso, gouache, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,False,True,157,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
